总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
长安逸动 2015款 XT 1.6L 手动俊酷型 国V,长安逸动,2015款,5.88,9.00,2015-02,4.4万公里,张家口,国五,手动,3500元（车价x4%，最低3500元） ,长安汽车,紧凑型车,1.6L 125马力 L4,5档手动变速箱(MT),5门5座两厢车,4425/1815/1485,2660,390-14,1325,1.6,自然吸气,L4,125,160,汽油,92号,多点电喷,国五,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,无,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
别克君威 2012款 2.0 自动 舒适版,别克君威,2012款,11.00,20.20,2013-09,5.89万公里,天津,国四,自动,4400元（车价x4%，最低3500元） ,上汽通用别克,中型车,2.0L 147马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4830/1856/1484,2737,500,1585,2.0,自然吸气,L4,147,190,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/55 R17,225/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,标配,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
起亚智跑 2015款 2.0L 自动两驱版DLX,起亚智跑,2015款,13.88,19.30,2015-01,3.78万公里,保定,国四,自动,5552元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型SUV,2.0L 165马力 L4,6档手自一体变速箱(AT),5门5座SUV,4450/1855/1660,2640,-,1470,2.0,自然吸气,L4,165,199,汽油,92号,多点电喷,国四,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,无,标配,无,标配,标配,无,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
丰田卡罗拉 2017款 1.2T CVT GL,丰田卡罗拉,2017款,10.30,13.00,2016-11,0.36万公里,邯郸,国五,自动,4120元（车价x4%，最低3500元） ,一汽丰田,紧凑型车,1.2T 116马力 L4,8档无级变速箱(CVT),4门5座三厢车,4630/1775/1480,2700,426,1300,1.2,涡轮增压,L4,116,185,汽油,92号,直喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,无,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
大众朗逸 2013款 改款经典 1.6L 手动舒适版,大众朗逸,2013款,9.50,13.70,2015-05,1.89万公里,石家庄,国四,手动,3800元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 110马力 L4,5档手动变速箱(MT),4门5座三厢车,4605/1765/1460,2610,478,-,1.6,自然吸气,L4,110,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,无,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0
哈弗H2 2016款 红标 1.5T 手动两驱尊贵型,哈弗H2,2016款,8.10,12.60,2016-04,0.9万公里,廊坊,国四,手动,3500元（车价x4%，最低3500元） ,长城汽车,小型SUV,1.5T 150马力 L4,6档手动变速箱(MT),5门5座SUV,4335/1814/1695,2560,-,-,1.5,涡轮增压,L4,150,210,汽油,92号,多点电喷,国四,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
捷豹XF 2014款 XF 3.0 SC 奢华版,捷豹XF,2014款,38.80,83.40,2014-12,2.3万公里,保定,国四,自动,15520元（车价x4%，最低3500元） ,捷豹,中大型车,3.0T 340马力 V6,8档手自一体变速箱(AT),4门5座三厢车,4961/1877/1460,2909,500,-,3.0,机械增压,V6,340,450,汽油,95号,直喷,国四,-,电子液压助力,被动式叉型前悬架,多连杆独立悬架,通风盘式,通风盘式,-,245/45 R18,245/45 R18,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
本田歌诗图 2014款 2.4L 豪华版,本田歌诗图,2014款,19.50,28.20,2016-07,1.4万公里,石家庄,国四,自动,7800元（车价x4%，最低3500元） ,广汽本田,中型车,2.4L 197马力 L4,5档自动变速箱(AT),5门5座掀背车,4995/1900/1560,2795,789,1715,2.4,自然吸气,L4,197,222,汽油,92号,多点电喷,国四,-,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/60 R18,225/60 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,无,无,无,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
本田思铂睿 2009款 2.4L TYPE-S,本田思铂睿,2009款,9.40,27.80,2010-06,11.2万公里,天津,国四,自动,3760元（车价x4%，最低3500元） ,东风本田,中型车,2.4L 181马力 L4,5档手自一体变速箱(AT),4门5座三厢车,4730/1850/1450,2705,-,1590,2.4,自然吸气,L4,181,225,汽油,92号,多点电喷,国四,,电动助力,独立双叉式悬架+横向稳定杆,多连杆悬架带横向稳定杆,通风盘式,盘式,-,225/50 R17,225/50 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,2
大众宝来 2013款 1.6L 手动时尚型,大众宝来,2013款,8.20,11.70,2015-06,1.2万公里,唐山,国四,手动,3500元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,5档手动变速箱(MT),4门5座三厢车,4523/1775/1467,2610,450,1265,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
