总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
大众速腾 2017款 230TSI 自动舒适型,大众速腾,2017款,14.00,17.50,2016-11,1.6万公里,宜宾,国五,自动,5600元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.4T 131马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4655/1780/1453,2651,510,1380,1.4,涡轮增压,L4,131,225,汽油,95号,直喷,国五,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
奔驰GLA级 2016款 GLA 220 4MATIC 豪华型,奔驰GLA级,2016款,28.00,38.00,2016-04,2.95万公里,德阳,国五,自动,11200元（车价x4%，最低3500元） ,北京奔驰,紧凑型SUV,2.0T 184马力 L4,7档双离合变速箱(DCT),5门5座SUV,4431/1804/1535,2699,-,1567,2.0,涡轮增压,L4,184,300,汽油,95号,直喷,国五,适时四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R19,235/45 R19,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,无,标配,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
大众尚酷 2011款 1.4TSI 单增压风尚版(进口),大众尚酷,2011款,13.10,25.60,2013-06,4.8万公里,内江,国四,自动,5240元（车价x4%，最低3500元） ,大众(进口),跑车,1.4T 122马力 L4,7档双离合变速箱(DCT),3门4座硬顶跑车,4248/1810/1410,2578,-,1330,1.4,涡轮增压,L4,122,200,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/45 R17,225/45 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,无,无,无,无,标配,标配,标配/无,标配,标配,无,无,标配,无,加装,标配,无,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
玛莎拉蒂Ghibli 2014款 3.0T 标准版,玛莎拉蒂Ghibli,2014款,70.00,97.50,2015-07,2.5万公里,雅安,国五,自动,28000元（车价x4%，最低3500元） ,玛莎拉蒂,中大型车,3.0T 330马力 V6,8档手自一体变速箱(AT),4门5座三厢车,4971/1945/1461,2998,500,1810,3.0,双涡轮增压,V6,330,500,汽油,95号,直喷,国五,,电子液压助力,双叉臂式独立悬架,双叉臂式独立悬架,通风盘式,通风盘式,-,235/50 R18,235/50 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
玛莎拉蒂Ghibli 2014款 3.0T 标准版,玛莎拉蒂Ghibli,2014款,69.00,97.50,2015-04,5.2万公里,资阳,国四,自动,27600元（车价x4%，最低3500元） ,玛莎拉蒂,中大型车,3.0T 330马力 V6,8档手自一体变速箱(AT),4门5座三厢车,4971/1945/1461,2998,500,1810,3.0,双涡轮增压,V6,330,500,汽油,95号,直喷,国四,,电子液压助力,双叉臂式独立悬架,双叉臂式独立悬架,通风盘式,通风盘式,-,235/50 R18,235/50 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
大众迈腾 2017款 380TSI DSG 豪华型,大众迈腾,2017款,22.20,27.10,2016-10,1.19万公里,内江,国五,自动,8880元（车价x4%，最低3500元） ,一汽-大众,中型车,2.0T 220马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4866/1832/1464,2871,533,1550,2.0,涡轮增压,L4,220,350,汽油,95号,直喷,国五,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/55 R17,215/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
宝马3系 2010款 320i豪华型(进口),宝马3系,2010款,13.20,40.70,2011-04,11.5万公里,德阳,国四,自动,5280元（车价x4%，最低3500元） ,宝马(进口),中型车,2.0L 156马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4531/1817/1421,2760,460,-,2.0,自然吸气,L4,156,200,汽油,95号,多点电喷,国四,-,电子液压助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,正常/正常,标配,标配,无,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,1
宝马X3 2012款 xDrive28i 豪华型(进口),宝马X3,2012款,29.80,64.70,2012-11,9.4万公里,乐山,国四,自动,11920元（车价x4%，最低3500元） ,宝马(进口),中型SUV,2.0T 245马力 L4,8档手自一体变速箱(AT),5门5座SUV,4642/1881/1686,2810,-,1820,2.0,涡轮增压,L4,245,350,汽油,95号,直喷,国四,全时四驱,电动助力,双球节弹簧减振支柱前桥,五连杆后悬架,通风盘式,通风盘式,-,245/50 R18,245/50 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0
凯迪拉克CTS 2012款 3.6L COUPE(进口),凯迪拉克CTS,2012款,29.00,70.30,2014-06,3.42万公里,宜宾,国四,自动,11600元（车价x4%，最低3500元） ,凯迪拉克(进口),中大型车,3.6L 322马力 V6,6档手自一体变速箱(AT),2门4座硬顶跑车,4789/1883/1426,2880,298,1783,3.6,自然吸气,V6,322,373,汽油,95号,直喷,国四,,电子液压助力,长短臂前悬架,多连杆独立悬架,通风盘式,通风盘式,-,245/45 R19,275/40 R19,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/无,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
丰田兰德酷路泽 2012款 4.0L 自动VX,丰田兰德酷路泽,2012款,63.00,86.70,2014-09,8.7万公里,自贡,国四,自动,25200元（车价x4%，最低3500元） ,一汽丰田,中大型SUV,4.0L 275马力 V6,5档手自一体变速箱(AT),5门8座SUV,5170/1970/1930,2850,-,2645,4.0,自然吸气,V6,275,385,汽油,95号,多点电喷,国四,全时四驱,机械液压助力,螺旋弹簧双叉臂独立悬架,四连杆式非独立悬架,通风盘式,通风盘式,-,285/65 R17,285/65 R17,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,标配,无,无,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
