总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
别克英朗 2013款 GT 1.8L 自动时尚版,别克英朗,2013款,7.80,17.90,2013-04,4.59万公里,昆明,国四,自动,3500元（车价x4%，最低3500元） ,上汽通用别克,紧凑型车,1.8L 147马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4671/1815/1478,2685,455,1430,1.8,自然吸气,L4,147,177,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
三菱戈蓝 2007款 2.4L 旗舰型,三菱戈蓝,2007款,3.78,23.90,2009-03,7.1万公里,资阳,国三,自动,3500元（车价x4%，最低3500元） ,东南汽车,中型车,2.4L 173马力 L4,4档手自一体变速箱(AT),4门5座三厢车,4860/1845/1485,2750,-,1630,2.4,自然吸气,L4,173,213,汽油,92号,多点电喷,国三,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,标配/标配,无/无,无/无,无,标配,标配,无,标配,无,标配,无,标配,无,标配,标配,标配/标配,标配,标配,标配,无,无,标配,无,无,标配,标配,标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,0
长安商用欧诺 2015款 1.5L金欧诺标准型,长安商用欧诺,2015款,3.28,5.20,2016-04,1.54万公里,绵阳,国四,手动,3500元（车价x4%，最低3500元） ,长安汽车,微面,1.5L 106马力 L4,5档手动变速箱(MT),客车,4420/1685/1850,2750,-,1370,1.5,自然吸气,L4,106,135,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬挂,多连杆螺旋弹簧非独立悬架,通风盘式,鼓式,-,195/60 R15,195/60 R15,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/无,无,无,无,无,标配,无,无,加装,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
比亚迪S6 2014款 2.0L 手动豪华型 5座,比亚迪S6,2014款,5.50,8.70,2014-12,2.4万公里,成都,国四,手动,3500元（车价x4%，最低3500元） ,比亚迪,中型SUV,2.0L 140马力 L4,5档手动变速箱(MT),5门5座SUV,4810/1855/1680,2720,1084-2,1620,2.0,自然吸气,L4,140,186,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,无,无,无,无,无,无,标配,标配/标配,标配,标配,标配,无,标配,标配,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
大众途安 2011款 1.4T 手动智尚版5座,大众途安,2011款,7.17,16.30,2011-12,10.5万公里,广安,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,MPV,1.4T 131马力 L4,5档手动变速箱(MT),5门5座MPV,4395/1794/1634,2678,620-19,1520,1.4,涡轮增压,L4,131,220,汽油,95号,直喷,国四,,电子液压助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,标配,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
启辰T70 2016款 2.0L CVT睿享版,启辰T70,2016款,9.10,13.90,2016-03,1.77万公里,黔南布衣族苗族自治州,国四,自动,3640元（车价x4%，最低3500元） ,东风启辰,紧凑型SUV,2.0L 144马力 L4,无级变速档无级变速箱(CVT),5门5座SUV,4542/1786/1642,2630,534,1428,2.0,自然吸气,L4,144,198,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R17,215/60 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,无,无,无,无,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
长安奔奔mini 2012款 1.0L 手动时尚版 国IV,长安奔奔mini,2012款,1.70,4.30,2012-04,6.7万公里,南充,国四,手动,3000元（车价x4%，最低3000元） ,长安汽车,微型车,1.0L 69马力 L4,5档手动变速箱(MT),5门5座两厢车,3580/1570/1490,2345,-,900,1.0,自然吸气,L4,69,91,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,非独立车轴式，螺旋弹簧悬架,通风盘式,鼓式,-,175/60 R13,175/60 R13,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0
本田雅阁 2013款 2.0L SE,本田雅阁,2013款,12.50,22.00,2013-07,5.1万公里,成都,国四,自动,5000元（车价x4%，最低3500元） ,广汽本田,中型车,2.0L 156马力 L4,5档自动变速箱(AT),4门5座三厢车,4960/1860/1480,2800,-,1510,2.0,自然吸气,L4,156,189,汽油,92号,多点电喷,国四,,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
大众CC 2013款 1.8TSI 尊贵型,大众CC,2013款,18.20,27.40,2013-09,3.9万公里,凉山彝族自治州,国五,自动,7280元（车价x4%，最低3500元） ,一汽-大众,中型车,1.8T 160马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4812/1855/1417,2712,532,1540,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国五,,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,-,235/45 R17,235/45 R17,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,加装,标配,加装,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
英菲尼迪Q50L 2015款 2.0T 悦享版,英菲尼迪Q50L,2015款,22.80,33.60,2015-05,3.97万公里,内江,国四,自动,9120元（车价x4%，最低3500元） ,东风英菲尼迪,中型车,2.0T 211马力 L4,7档手自一体变速箱(AT),4门5座三厢车,4840/1823/1456,2898,500,1675,2.0,涡轮增压,L4,211,350,汽油,95号,直喷,国四,,电子液压助力,独立双叉式悬架+横向稳定杆,多连杆式独立悬架+横向稳定杆,通风盘式,通风盘式,-,225/55 R17,225/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
