总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
比亚迪F3 2013款 节能版 1.5L 手动标准型,比亚迪F3,2013款,2.90,5.70,2015-09,2.7万公里,惠州,国四,手动,3000元（车价x4%，最低3000元） ,比亚迪,紧凑型车,1.5L 109马力 L4,5档手动变速箱(MT),4门5座三厢车,4533/1705/1490,2600,430,1210,1.5,自然吸气,L4,109,145,汽油,92号,多点电喷,国四,,电子液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,195/60 R15,195/60 R15,正常/正常,无/无,无/无,无,标配,无,标配,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,加装,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
别克君威 2015款 2.0L 精英时尚型,别克君威,2015款,12.78,21.00,2014-11,6.2万公里,惠州,国五,自动,5112元（车价x4%，最低3500元） ,上汽通用别克,中型车,2.0L 154马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4843/1856/1484,2737,442,1585,2.0,自然吸气,L4,154,190,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/55 R17,225/55 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
大众途安 2015款 1.4T 手动风尚版5座,大众途安,2015款,9.29,15.20,2015-05,3.8万公里,常德,国四,手动,3716元（车价x4%，最低3500元） ,上汽大众,MPV,1.4T 131马力 L4,5档手动变速箱(MT),5门5座MPV,4395/1794/1634,2678,620-19,1520,1.4,涡轮增压,L4,131,220,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,标配,标配,标配,无,标配,标配,无,无,无,无,无,标配,标配/标配,标配,标配,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
本田思铂睿 2009款 2.4L TYPE-S NAVI,本田思铂睿,2009款,12.00,29.50,2012-11,8.27万公里,常德,国四,自动,4800元（车价x4%，最低3500元） ,东风本田,中型车,2.4L 181马力 L4,5档手自一体变速箱(AT),4门5座三厢车,4730/1850/1450,2705,-,1595,2.4,自然吸气,L4,181,225,汽油,92号,多点电喷,国四,,电动助力,独立双叉式悬架+横向稳定杆,多连杆悬架带横向稳定杆,通风盘式,盘式,-,225/50 R17,225/50 R17,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
大众途观 2013款 1.8TSI 自动两驱豪华型,大众途观,2013款,17.80,28.20,2014-11,6.16万公里,岳阳,国四,自动,7120元（车价x4%，最低3500元） ,上汽大众,紧凑型SUV,1.8T 160马力 L4,6档手自一体变速箱(AT),5门5座SUV,4506/1809/1685,2684,400-15,1600,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国四,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R17,235/55 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,加装,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
本田锋范 2012款 1.5L 手动舒适版,本田锋范,2012款,4.78,9.70,2012-06,9.7万公里,娄底,国四,手动,3500元（车价x4%，最低3500元） ,广汽本田,小型车,1.5L 120马力 L4,5档手动变速箱(MT),4门5座三厢车,4422/1695/1470,2550,506,-,1.5,自然吸气,L4,120,145,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,175/65 R15,175/65 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0
马自达阿特兹 2015款 2.0L 蓝天豪华版,马自达阿特兹,2015款,15.40,20.50,2015-02,2.6万公里,邵阳,国四,自动,6160元（车价x4%，最低3500元） ,一汽马自达,中型车,2.0L 158马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4870/1840/1450,2830,483,1447,2.0,自然吸气,L4,158,202,汽油,92号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/55 R17,225/55 R17,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红旗H7 2015款 2.0T 豪华型,红旗H7,2015款,23.00,34.70,2017-02,1.45万公里,遵义,国五,自动,9200元（车价x4%，最低3500元） ,一汽红旗,中大型车,2.0T 204马力 L4,6档手自一体变速箱(AT),4门5座三厢车,5095/1875/1485,2970,-,1800,2.0,涡轮增压,L4,204,260,汽油,95号,多点电喷,国五,,电子液压助力,独立双叉式悬架带横向稳定杆,多连杆式独立悬架+横向稳定杆,通风盘式,通风盘式,-,225/55 R17,225/55 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长安悦翔V7 2016款 1.6L 自动乐享型 国V,长安悦翔V7,2016款,5.88,7.90,2016-10,1.3万公里,益阳,国五,自动,3500元（车价x4%，最低3500元） ,长安汽车,紧凑型车,1.6L 124马力 L4,4档手自一体变速箱(AT),4门5座三厢车,4530/1745/1498,2610,410,-,1.6,自然吸气,L4,124,156,汽油,92号,多点电喷,国五,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/55 R15,195/55 R15,正常/正常,无/无,无/无,无,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,标配,标配,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
本田凌派 2016款 1.8L CVT豪华版,本田凌派,2016款,11.50,14.60,2016-10,1.4万公里,南京,国五,自动,4600元（车价x4%，最低3500元） ,广汽本田,紧凑型车,1.8L 136马力 L4,无级变速档无级变速箱(CVT),4门5座三厢车,4664/1750/1505,2650,588,1295,1.8,自然吸气,L4,136,169,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
