总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
福特翼虎 2013款 1.6L GTDi 四驱精英型,福特翼虎,2013款,15.70,26.00,2015-01,5.42万公里,大理,国四,自动,6280元（车价x4%，最低3500元） ,长安福特,紧凑型SUV,1.6T 177马力 L4,6档手自一体变速箱(AT),5门5座SUV,4524/1838/1695,2690,-,1717,1.6,涡轮增压,L4,177,240,汽油,92号,直喷,国四,适时四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/50 R18,235/50 R18,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,无,无,无,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
奔驰GLK级 2012款 GLK 300 4MATIC 时尚型,奔驰GLK级,2012款,23.00,51.60,2012-07,11.86万公里,玉溪,国四,自动,9200元（车价x4%，最低3500元） ,北京奔驰,中型SUV,3.0L 245马力 V6,7档手自一体变速箱(AT),5门5座SUV,4528/1840/1691,2755,450-15,1830,3.0,自然吸气,V6,245,300,汽油,95号,多点电喷,国四,全时四驱,电子液压助力,麦弗逊配三连杆式悬架,多连杆独立悬架,通风盘式,通风盘式,-,235/50 R19,255/45 R19,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,无,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0
起亚索兰托 2013款 2.4L 5座汽油至尊UVO版 国IV(进口),起亚索兰托,2013款,16.50,32.50,2013-03,12.66万公里,成都,国四,自动,6600元（车价x4%，最低3500元） ,起亚(进口),中型SUV,2.4L 190马力 L4,6档手自一体变速箱(AT),5门5座SUV,4685/1885/1745,2700,-,-,2.4,自然吸气,L4,190,242,汽油,92号,直喷,国四,适时四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/60 R18,235/60 R18,正常/正常,正常/无,正常/正常,无,标配,无,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
众泰T600 2014款 2.0T 自动尊贵型,众泰T600,2014款,7.80,13.70,2015-06,8.3万公里,曲靖,国四,自动,3500元（车价x4%，最低3500元） ,众泰汽车,中型SUV,2.0T 190马力 L4,6档双离合变速箱(DCT),5门5座SUV,4631/1893/1694,2807,344,1590,2.0,涡轮增压,L4,190,250,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/60 R18,235/60 R18,正常/正常,正常/无,正常/正常,无,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
大众迈腾 2012款 2.0TSI 至尊型,大众迈腾,2012款,14.40,31.70,2011-11,6.7万公里,玉溪,国四,自动,5760元（车价x4%，最低3500元） ,一汽-大众,中型车,2.0T 200马力 L4,6档双离合变速箱(DCT),4门5座三厢车,4865/1820/1475,2812,565,1550,2.0,涡轮增压,L4,200,280,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R17,235/45 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈弗H6 2015款 运动版 1.5T 自动两驱尊享型,哈弗H6,2015款,10.98,15.80,2017-01,3.56万公里,重庆,国四,自动,4392元（车价x4%，最低3500元） ,长城汽车,紧凑型SUV,1.5T 150马力 L4,6档手自一体变速箱(AT),5门5座SUV,4649/1852/1710,2680,808-20,1554,1.5,涡轮增压,L4,150,210,汽油,92号,多点电喷,国四,-,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
雪佛兰科帕奇 2014款 2.4L 四驱旗舰版 7座,雪佛兰科帕奇,2014款,11.86,22.80,2013-07,6.1万公里,楚雄彝族自治州,国四,自动,4744元（车价x4%，最低3500元） ,上汽通用雪佛兰,中型SUV,2.4L 167马力 L4,6档手自一体变速箱(AT),5门7座SUV,4673/1868/1756,2707,477-94,1845,2.4,自然吸气,L4,167,230,汽油,92号,多点电喷,国四,适时四驱,机械液压助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,通风盘式,-,235/55 R18,235/55 R18,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,故障,标配,无,标配,标配/无,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
大众迈腾 2015款 2.0TSI 尊贵型,大众迈腾,2015款,17.50,29.10,2015-03,5.27万公里,楚雄彝族自治州,国四,自动,7000元（车价x4%，最低3500元） ,一汽-大众,中型车,2.0T 200马力 L4,6档双离合变速箱(DCT),4门5座三厢车,4865/1820/1475,2812,565,1550,2.0,涡轮增压,L4,200,280,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R17,235/45 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
起亚佳乐 2013款 2.0L 7座自动豪华版 国V(进口),起亚佳乐,2013款,13.50,22.40,2014-05,2.4万公里,玉溪,国五,自动,5400元（车价x4%，最低3500元） ,起亚(进口),MPV,2.0L 152马力 L4,6档手自一体变速箱(AT),5门7座MPV,4525/1805/1605,2750,-,-,2.0,自然吸气,L4,152,194,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,整体扭杆梁式非独立,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
长安商用长安之星2 2012款 1.0LCNG基本型JL466QG,长安商用长安之星2,2012款,1.60,4.40,2013-03,3.68万公里,曲靖,国四,手动,3000元（车价x4%，最低3000元） ,长安汽车,微面,1.0L 56马力 L4,5档手动变速箱(MT),客车,3860/1580/1900,2500,-,1125,1.0,自然吸气,L4,56,78,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬挂,钢板弹簧非独立悬架,盘式,鼓式,-,165 R13LT,165 R13LT,无/无,无/无,无/无,无,加装,无,无,无,无,无,无,无,无,无,无,无/无,无,无,无,无,无,无,加装,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0
