总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
MINI 2014款 1.2T ONE+,MINI,2014款,17.60,24.40,2014-12,0.8万公里,南京,国四,自动,7040元（车价x4%，最低3500元） ,MINI,小型车,1.2T 102马力 L3,6档手自一体变速箱(AT),3门4座两厢车,3832/1727/1447,2495,211,1196,1.2,涡轮增压,L3,102,180,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,195/55 R16,195/55 R16,正常/正常,正常/正常,正常/正常,标配,标配,无,无,标配,标配,标配,标配,无,无,标配,标配,标配/无,标配,标配,标配,标配,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
起亚K3 2015款 1.6L 自动GLS,起亚K3,2015款,10.30,13.50,2016-03,3.9万公里,南京,国五,自动,4120元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型车,1.6L 128马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4600/1780/1445,2700,-,1280,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,加装,标配,标配,标配,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,加装,标配,加装,无,加装/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
别克君越 2008款 2.4 舒适型,别克君越,2008款,5.30,23.50,2009-06,11.8万公里,南京,国四,自动,3500元（车价x4%，最低3500元） ,上汽通用别克,中型车,2.4L 168马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4998/1851/1461,2807,510,1585,2.4,自然吸气,L4,168,225,汽油,92号,多点电喷,国四,,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/60 R16,225/60 R16,正常/正常,正常/正常,正常/正常,标配,标配,无,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,无,标配,标配,无,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4
雪佛兰科帕奇 2011款 2.4 AT 7座豪华版(进口),雪佛兰科帕奇,2011款,12.18,28.00,2012-01,9.25万公里,南京,国四,自动,4872元（车价x4%，最低3500元） ,雪佛兰(进口),中型SUV,2.4L 167马力 L4,6档手自一体变速箱(AT),5门7座SUV,4673/1868/1756,2707,477-94,1858,2.4,自然吸气,L4,167,230,汽油,92号,多点电喷,国四,适时四驱,机械液压助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,通风盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
马自达5 2008款 2.0 手动舒适型(进口),马自达5,2008款,8.50,17.30,2011-01,12.4万公里,南京,国四,手动,3500元（车价x4%，最低3500元） ,马自达(进口),MPV,2.0L 144马力 L4,6档手动变速箱(MT),5门7座MPV,4565/1745/1620,2750,-,1489,2.0,自然吸气,L4,144,180,汽油,92号,多点电喷,国四,,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,标配,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0
大众宝来 2013款 1.6L 自动舒适型,大众宝来,2013款,9.30,13.90,2014-01,3.4万公里,南京,国四,自动,3720元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4523/1775/1467,2610,450,1310,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,加装,标配,加装,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0
宝骏乐驰 2012款 1.2L 手动运动版优越型,宝骏乐驰,2012款,2.50,4.60,2013-07,2.15万公里,南京,国四,手动,3000元（车价x4%，最低3000元） ,上汽通用五菱,微型车,1.2L 86马力 L4,5档手动变速箱(MT),5门5座两厢车,3565/1515/1510,2340,-,880,1.2,自然吸气,L4,86,108,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,"连杆摆臂式非独立,螺旋弹簧",盘式,鼓式,-,175/60 R13,175/60 R13,无/无,无/无,无/无,无,标配,无,无,无,无,无,无,无,无,无,无,标配/标配,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
奥迪Q3 2013款 35 TFSI quattro 技术型,奥迪Q3,2013款,22.00,36.20,2014-04,3.9万公里,南京,国四,自动,8800元（车价x4%，最低3500元） ,一汽-大众奥迪,紧凑型SUV,2.0T 170马力 L4,7档双离合变速箱(DCT),5门5座SUV,4385/1831/1608,2603,460,1670,2.0,涡轮增压,L4,170,280,汽油,95号,直喷,国四,全时四驱,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,-,235/55 R17,235/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,无,标配,标配,无,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
奥迪Q3 2015款 35 TFSI 舒适型,奥迪Q3,2015款,24.00,34.30,2015-09,0.3万公里,南京,国五,自动,9600元（车价x4%，最低3500元） ,一汽-大众奥迪,紧凑型SUV,2.0T 170马力 L4,7档双离合变速箱(DCT),5门5座SUV,4385/1831/1589,2603,460,1560,2.0,涡轮增压,L4,170,280,汽油,95号,直喷,国五,-,电动助力,麦弗逊式独立悬架,四连杆独立悬架,通风盘式,盘式,-,235/55 R17,235/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,无,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大众POLO 2009款 劲取 1.4L 手动雅适版,大众POLO,2009款,3.96,9.30,2010-12,10万公里,南京,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,小型车,1.4L 86马力 L4,5档手动变速箱(MT),4门5座三厢车,4200/1650/1465,2460,420,1139,1.4,自然吸气,L4,86,130,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,非独立非驱动桥,通风盘式,鼓式,-,185/60 R14,185/60 R14,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/无,无,无,无,无,标配,无,加装,无,加装,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1
