总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
长城C30 2012款 1.5L 手动豪华型,长城C30,2012款,3.12,7.30,2012-08,2.9万公里,枣庄,国四,手动,3500元（车价x4%，最低3500元） ,长城汽车,紧凑型车,1.5L 106马力 L4,5档手动变速箱(MT),4门5座三厢车,4452/1705/1480,2610,510,1125,1.5,自然吸气,L4,106,138,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,纵臂扭力梁式复合悬架,通风盘式,盘式,-,185/65 R15,185/65 R15,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,标配,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,1
奔腾B70 2014款 2.0L 手动豪华型,奔腾B70,2014款,6.70,11.90,2015-02,3.4万公里,日照,国四,手动,3500元（车价x4%，最低3500元） ,一汽奔腾,中型车,2.0L 147马力 L4,6档手动变速箱(MT),4门5座三厢车,4800/1820/1472,2725,522,1460,2.0,自然吸气,L4,147,184,汽油,92号,多点电喷,国四,,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,标配,标配,标配,无,标配,无,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
长安悦翔V5 2012款 1.5L 手动梦幻型,长安悦翔V5,2012款,3.48,6.70,2013-11,5.36万公里,哈尔滨,国四,手动,3500元（车价x4%，最低3500元） ,长安汽车,小型车,1.5L 114马力 L4,5档手动变速箱(MT),4门5座三厢车,4415/1710/1475,2515,-,1120,1.5,自然吸气,L4,114,145,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,H型扭力梁式非独立悬架,通风盘式,盘式,-,195/55 R15,195/55 R15,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,标配,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
北汽幻速S3 2014款 1.5L 豪华型 国IV,北汽幻速S3,2014款,4.00,7.50,2015-02,3万公里,宿迁,国四,手动,3500元（车价x4%，最低3500元） ,北汽银翔,紧凑型SUV,1.5L 113马力 L4,5档手动变速箱(MT),5门7座SUV,4380/1730/1720,2685,-,1335,1.5,自然吸气,L4,113,150,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,五连杆后悬架,通风盘式,盘式,-,205/65 R16,205/65 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,标配,无,标配,标配,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
大众朗逸 2015款 1.6L 手动舒适版,大众朗逸,2015款,8.50,13.60,2016-08,2.97万公里,牡丹江,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 110马力 L4,5档手动变速箱(MT),4门5座三厢车,4605/1765/1460,2610,478,1210,1.6,自然吸气,L4,110,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1
日产骐达 2011款 1.6L 手动智能型,日产骐达,2011款,5.88,12.50,2012-08,6万公里,潍坊,国四,手动,3500元（车价x4%，最低3500元） ,东风日产,紧凑型车,1.6L 126马力 L4,5档手动变速箱(MT),5门5座两厢车,4295/1760/1520,2700,310,1206,1.6,自然吸气,L4,126,154,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/60 R16,195/60 R16,正常/正常,正常/无,无/无,无,标配,无,标配,标配,无,标配,无,无,无,无,标配,标配/标配,标配,标配,无,无,标配,标配,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
铃木羚羊 2012款 1.3L 标准型,铃木羚羊,2012款,2.30,5.10,2013-01,1.45万公里,黑河,国四,手动,3000元（车价x4%，最低3000元） ,长安铃木,小型车,1.3L 91马力 L4,5档手动变速箱(MT),4门5座三厢车,4105/1590/1395,2365,500,895,1.3,自然吸气,L4,91,115,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,鼓式,-,165/70 R13,165/70 R13,正常/无,无/无,无/无,无,标配,无,无,无,无,无,无,无,无,无,无,标配/标配,无,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长城C30 2013款 新视界版 1.5L 手动智尚型,长城C30,2013款,4.10,7.50,2014-02,4.6万公里,济宁,国四,手动,3500元（车价x4%，最低3500元） ,长城汽车,紧凑型车,1.5L 106马力 L4,5档手动变速箱(MT),4门5座三厢车,4452/1705/1480,2610,510,1160,1.5,自然吸气,L4,106,138,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,纵臂扭力梁式复合悬架,通风盘式,盘式,-,185/65 R15,185/65 R15,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,标配,标配,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
哈弗H6 2011款 绿静2.0T 手动两驱精英型,哈弗H6,2011款,5.90,14.30,2013-02,5.3万公里,巴中,国四,手动,3500元（车价x4%，最低3500元） ,长城汽车,紧凑型SUV,2.0T 150马力 L4,6档手动变速箱(MT),5门5座SUV,4640/1825/1690,2680,808-20,1615,2.0,涡轮增压,L4,150,310,柴油,0号,直喷,国四,-,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,无/无,无/无,标配,标配,标配,无,标配,无,无,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
北汽威旺306 2013款 1.2L超值版 基本型7座A12国IV,北汽威旺306,2013款,1.60,4.10,2013-06,7.94万公里,安阳,国四,手动,3000元（车价x4%，最低3000元） ,北京汽车,微面,1.2L 86马力 L4,5档手动变速箱(MT),客车,4030/1636/1907,2700,-,-,1.2,自然吸气,L4,86,108,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬挂,纵置钢板弹簧,盘式,鼓式,-,175/70 R14,175/70 R14,无/无,无/无,无/无,无,无,无,无,无,无,无,无,无,无,无,标配,无/无,无,无,无,无,无,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
