总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
东风风行菱智 2015款 V3 1.6L 7座舒适型,东风风行菱智,2015款,4.70,7.30,2015-10,2.8万公里,海口,国五,手动,3500元（车价x4%，最低3500元） ,东风风行,MPV,1.6L 113马力 L4,5档手动变速箱(MT),4门7座MPV,5055/1695/1960,-,-,-,1.6,自然吸气,L4,113,138,汽油,92号,多点电喷,国五,,机械液压助力,双横臂式独立悬架,钢板弹簧非独立悬架,通风盘式,鼓式,-,195/65 R15,195/65 R15,无/无,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/无,无,无,无,无,标配,无,加装,无,加装,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
大众速腾 2014款 改款 1.6L 手动舒适型,大众速腾,2014款,9.25,15.10,2015-02,3.1万公里,晋中,国四,手动,3700元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,5档手动变速箱(MT),4门5座三厢车,4644/1778/1482,2651,510,1290,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
雪铁龙世嘉 2009款 三厢 1.6L 手动时尚型,雪铁龙世嘉,2009款,4.00,11.80,2011-01,9.58万公里,晋中,国四,手动,3500元（车价x4%，最低3500元） ,东风雪铁龙,紧凑型车,1.6L 106马力 L4,5档手动变速箱(MT),4门5座三厢车,4556/1773/1486,2610,481,1300,1.6,自然吸气,L4,106,142,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,可变形横梁式，带横向稳定杆,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,标配,标配,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5
五菱宏光 2010款 1.2L 标准型,五菱宏光,2010款,3.00,5.50,2013-10,8.3万公里,喀什,国四,手动,3000元（车价x4%，最低3000元） ,上汽通用五菱,微面,1.2L 86马力 L4,5档手动变速箱(MT),客车,4305/1680/1750,2720,-,1205,1.2,自然吸气,L4,86,108,汽油,92号,多点电喷,国四,,液压助力,麦弗逊式独立悬挂,五连杆式半独立悬挂,盘式,鼓式,-,185/65 R14,185/65 R14,无/无,无/无,正常/正常,无,标配,无,无,无,无,无,无,无,无,无,无,标配/标配,无,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0
长安逸动 2015款 1.6L 自动豪华型,长安逸动,2015款,7.80,9.60,2016-09,0.52万公里,忻州,国四,自动,3500元（车价x4%，最低3500元） ,长安汽车,紧凑型车,1.6L 125马力 L4,4档手自一体变速箱(AT),4门5座三厢车,4620/1820/1490,2660,510,1325,1.6,自然吸气,L4,125,160,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
奔驰S级 2011款 S 350 L CGI(进口),奔驰S级,2011款,62.00,151.70,2012-09,5.9万公里,吕梁地区,国四,自动,24800元（车价x4%，最低3500元） ,奔驰(进口),大型车,3.5L 306马力 V6,7档手自一体变速箱(AT),4门5座三厢车,5230/1871/1485,3165,560,-,3.5,自然吸气,V6,306,370,汽油,95号,直喷,国四,-,电子液压助力,AIRMATIC主动空气悬架,AIRMATIC主动空气悬架,通风盘式,通风盘式,-,255/45 R18,255/45 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1
奥迪A4L 2011款 1.8 TFSI 舒适型,奥迪A4L,2011款,16.00,31.60,2012-09,10.4万公里,临汾,国四,自动,6400元（车价x4%，最低3500元） ,一汽-大众奥迪,中型车,1.8T 160马力 L4,8档无级变速箱(CVT),4门5座三厢车,4763/1826/1426,2869,480,1610,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国四,-,电动助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,盘式,-,225/55 R16,225/55 R16,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2
奥迪A6L 2012款 30 FSI 舒适型,奥迪A6L,2012款,28.50,51.30,2013-04,7.15万公里,吕梁地区,国四,自动,11400元（车价x4%，最低3500元） ,一汽-大众奥迪,中大型车,2.5L 190马力 V6,8档无级变速箱(CVT),4门5座三厢车,5015/1874/1455,3012,460,1800,2.5,自然吸气,V6,190,250,汽油,95号,直喷,国四,-,电动助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,通风盘式,-,225/55 R17,225/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,0
丰田花冠 2011款 1.6L 手动豪华版,丰田花冠,2011款,5.30,11.60,2011-05,6万公里,晋中,国四,手动,3500元（车价x4%，最低3500元） ,一汽丰田,紧凑型车,1.6L 120马力 L4,5档手动变速箱(MT),4门5座三厢车,4530/1705/1490,2600,430,1165,1.6,自然吸气,L4,120,152,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,拖曳臂式,通风盘式,盘式,-,195/60 R15,195/60 R15,标配/标配,无/无,无/无,无,标配,无,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,标配,无,无,无,无,无,无,无,加装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
理念S1 2011款 1.3L 手动舒适版,理念S1,2011款,3.40,7.60,2011-07,7.9万公里,吕梁地区,国四,手动,3500元（车价x4%，最低3500元） ,广汽本田,小型车,1.3L 82马力 L4,5档手动变速箱(MT),4门5座三厢车,4420/1690/1495,2450,510,993,1.3,自然吸气,L4,82,116,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,H型扭力梁式非独立,通风盘式,鼓式,-,175/65 R14,175/65 R14,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
大众宝来 2013款 1.6L 手动舒适型,大众宝来,2013款,7.50,12.60,2013-07,5.68万公里,长春,国四,手动,3500元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,5档手动变速箱(MT),4门5座三厢车,4523/1775/1467,2610,450,1265,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
大众速腾 2012款 1.6L 自动舒适型,大众速腾,2012款,8.45,16.40,2013-03,11.15万公里,吕梁地区,国四,自动,3500元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4644/1778/1482,2651,510,1340,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
福特福睿斯 2015款 1.5L 手动舒适型,福特福睿斯,2015款,8.10,10.50,2016-05,2万公里,唐山,国五,手动,3500元（车价x4%，最低3500元） ,长安福特,紧凑型车,1.5L 113马力 L4,5档手动变速箱(MT),4门5座三厢车,4587/1825/1490,2687,448,1255,1.5,自然吸气,L4,113,142,汽油,92号,多点电喷,国五,,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
大众迈腾 2012款 2.0TSI 至尊型,大众迈腾,2012款,15.10,31.70,2011-10,10.4万公里,太原,国四,自动,6040元（车价x4%，最低3500元） ,一汽-大众,中型车,2.0T 200马力 L4,6档双离合变速箱(DCT),4门5座三厢车,4865/1820/1475,2812,565,1550,2.0,涡轮增压,L4,200,280,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R17,235/45 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
路虎揽胜 2012款 5.0 V8 SC 巅峰创世典藏版(进口),路虎揽胜,2012款,154.00,368.80,2012-08,5.5万公里,呼和浩特,国三,自动,61600元（车价x4%，最低3500元） ,路虎(进口),中大型SUV,5.0T 510马力 V8,6档手自一体变速箱(AT),5门4座SUV,4972/2034/1865,2880,994-20,-,5.0,机械增压,V8,510,625,汽油,95号,直喷,国三,全时四驱,电子液压助力,空气悬架,空气悬架,通风盘式,通风盘式,-,255/50 R20,255/50 R20,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,无,无,标配,标配,标配,无,标配/标配,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东南V6菱仕 2013款 1.5L CVT豪华版,东南V6菱仕,2013款,5.20,10.10,2014-05,4.3万公里,大同,国四,自动,3500元（车价x4%，最低3500元） ,东南汽车,紧凑型车,1.5L 120马力 L4,无级变速档无级变速箱(CVT),5门5座两厢车,4475/1770/1475,2610,-,1230,1.5,自然吸气,L4,120,143,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,195/60 R16,195/60 R16,正常/正常,无/无,无/无,无,标配,标配,标配,标配,无,无,标配,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,无,无,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
丰田卡罗拉 2011款 1.8L CVT GL-i纪念版,丰田卡罗拉,2011款,7.36,16.50,2012-03,4.1万公里,呼和浩特,国四,自动,3500元（车价x4%，最低3500元） ,一汽丰田,紧凑型车,1.8L 140马力 L4,无级变速档无级变速箱(CVT),4门5座三厢车,4545/1760/1490,2600,450,1320,1.8,自然吸气,L4,140,173,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,新型拖曳臂式悬架(减振器、减振簧分离式),通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,无,无,标配,标配,无,无,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
奇瑞QQ3 2012款 梦想版 0.8L 手动梦想型,奇瑞QQ3,2012款,1.30,3.40,2013-10,5.3万公里,呼和浩特,国四,手动,3000元（车价x4%，最低3000元） ,奇瑞汽车,微型车,0.8L 58马力 L3,5档手动变速箱(MT),5门5座两厢车,3550/1495/1485,2340,190,890,0.8,自然吸气,L3,58,78,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬架,纵向拖曳臂式非独立悬架,盘式,鼓式,-,155/65 R13,155/65 R13,无/无,无/无,无/无,无,无,无,无,无,无,无,无,无,无,无,无,无/无,无,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
别克昂科拉 2015款 1.4T 手动两驱都市进取型,别克昂科拉,2015款,8.60,15.20,2014-12,3.7万公里,呼和浩特,国五,手动,3500元（车价x4%，最低3500元） ,上汽通用别克,小型SUV,1.4T 140马力 L4,6档手动变速箱(MT),5门5座SUV,4278/1774/1646,2555,356-13,-,1.4,涡轮增压,L4,140,200,汽油,92号,多点电喷,国五,-,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,盘式,-,215/55 R18,215/55 R18,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
