总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
五菱宏光 2010款 1.4L 标准型,五菱宏光,2010款,2.80,5.90,2013-06,6.2万公里,渭南,国四,手动,3000元（车价x4%，最低3000元） ,上汽通用五菱,微面,1.4L 102马力 L4,5档手动变速箱(MT),客车,4305/1680/1750,2720,-,1260,1.4,自然吸气,L4,102,131,汽油,92号,多点电喷,国四,,液压助力,麦弗逊式独立悬挂,五连杆式半独立悬挂,盘式,鼓式,-,185/65 R14,185/65 R14,无/无,无/无,正常/正常,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,无,无,无,无,标配,无,无,加装,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
奥迪A6L 2012款 TFSI 标准型,奥迪A6L,2012款,26.00,44.50,2013-01,4.7万公里,榆林,国四,自动,10400元（车价x4%，最低3500元） ,一汽-大众奥迪,中大型车,2.0T 180马力 L4,8档无级变速箱(CVT),4门5座三厢车,5015/1874/1455,3012,460,1740,2.0,涡轮增压,L4,180,320,汽油,95号,直喷,国四,-,电动助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,通风盘式,-,225/55 R17,225/55 R17,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0
Jeep牧马人 2013款 3.6L 两门版 Rubicon(进口),Jeep牧马人,2013款,34.30,53.20,2013-11,3.7万公里,延安,国四,自动,13720元（车价x4%，最低3500元） ,Jeep(进口),中型SUV,3.6L 284马力 V6,5档手自一体变速箱(AT),2门4座SUV,4223/1873/1840,2424,142,1921,3.6,自然吸气,V6,284,347,汽油,92号,多点电喷,国四,分时四驱,机械液压助力,五连杆整体桥式非独立悬架，前稳定杆,五连杆整体桥式非独立悬架，带稳定杆,通风盘式,盘式,-,245/75 R17,245/75 R17,正常/正常,无/无,无/无,标配,标配,标配,无,标配,标配,无,无,无,无,无,标配,标配/无,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大众帕萨特 2016款 280TSI DSG尊荣版,大众帕萨特,2016款,16.00,23.00,2016-09,1.8万公里,安康,国五,自动,6400元（车价x4%，最低3500元） ,上汽大众,中型车,1.4T 150马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4872/1834/1484,2803,490,1495,1.4,涡轮增压,L4,150,250,汽油,95号,直喷,国五,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
奥迪A6L 2011款 2.0 TFSI 自动标准型,奥迪A6L,2011款,16.98,42.30,2011-07,11.7万公里,延安,国四,自动,6792元（车价x4%，最低3500元） ,一汽-大众奥迪,中大型车,2.0T 170马力 L4,7档无级变速箱(CVT),4门5座三厢车,5035/1855/1485,2945,501,1750,2.0,涡轮增压,L4,170,280,汽油,95号,直喷,国四,-,机械液压助力,轻质四连杆式独立悬,梯形连杆式独立悬架,通风盘式,通风盘式,-,225/55 R16,225/55 R16,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
奔腾B70 2014款 1.8T 自动运动尊享型,奔腾B70,2014款,7.80,15.20,2014-06,3.2万公里,延安,国五,自动,3500元（车价x4%，最低3500元） ,一汽奔腾,中型车,1.8T 186马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4800/1820/1472,2725,522,1545,1.8,涡轮增压,L4,186,235,汽油,92号,多点电喷,国五,,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,无,标配,标配,标配,标配,标配,标配,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
福特福克斯 2012款 三厢 1.6L 手动风尚型,福特福克斯,2012款,6.60,14.40,2012-09,6.1万公里,咸阳,国四,手动,3500元（车价x4%，最低3500元） ,长安福特,紧凑型车,1.6L 125马力 L4,5档手动变速箱(MT),4门5座三厢车,4534/1823/1483,2648,530,1286,1.6,自然吸气,L4,125,159,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,无,标配,无,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
起亚福瑞迪 2011款 1.6L AT GLS,起亚福瑞迪,2011款,4.49,13.00,2010-04,7.1万公里,咸阳,国三,自动,3500元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型车,1.6L 123马力 L4,4档手自一体变速箱(AT),4门5座三厢车,4530/1775/1460,2650,415,1210,1.6,自然吸气,L4,123,155,汽油,92号,多点电喷,国三,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,无,无,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1
雪佛兰科鲁兹 2009款 1.6L SE MT,雪佛兰科鲁兹,2009款,4.55,13.00,2011-01,8.3万公里,榆林,国四,手动,3500元（车价x4%，最低3500元） ,上汽通用雪佛兰,紧凑型车,1.6L 117马力 L4,5档手动变速箱(MT),4门5座三厢车,4598/1797/1477,2685,400,1360,1.6,自然吸气,L4,117,150,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/60 R16,205/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
斯柯达晶锐 2009款 1.6L 自动晶灵版,斯柯达晶锐,2009款,3.80,11.90,2009-10,8.32万公里,咸阳,国三,自动,3500元（车价x4%，最低3500元） ,上汽斯柯达,小型车,1.6L 105马力 L4,6档手自一体变速箱(AT),5门5座两厢车,3992/1642/1500,2465,300-11,1175,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国三,,机械液压助力,麦弗逊式独立悬架+横向稳定杆,扭力梁式非独立悬架,通风盘式,鼓式,-,195/55 R15,195/55 R15,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
