价格,新车价,行驶时间,公里数,保养方式,使用类型,所在地,环境标准,年检到期日,保险到期日,depre,city,miles,years,y
23.88,36.23,1年6个月,2.50万公里,4S店定期保养,非营运车,成都,国4,2018年04月,2018年04月,0.659122274358,cd,2.5,1.08333333333,0.65938522545
25.98,44.27,2个月,0.12万公里,4S店定期保养,非营运车,成都,欧5,2019年08月,2018年08月,0.586853399593,cd,0.12,2.16666666667,0.35097254884
21.58,36.23,3年,3.44万公里,4S店定期保养,非营运车,成都,国4,2018年10月,2017年10月,0.595638973227,cd,3.44,3.25,0.387326624367
32.8,41.62,1年2个月,2.00万公里,4S店定期保养,非营运车,成都,国5,2018年08月,2019年08月,0.788082652571,cd,2.0,1.08333333333,1.31340664537
16.28,27.12,3年9个月,3.60万公里,4S店定期保养,非营运车,成都,"国4,国5",2018年01月,2019年01月,0.600294985251,cd,3.6,3.25,0.406694364563
27.18,46.62,4年,7.50万公里,4S店定期保养,非营运车,成都,"国4,国5",2017年10月,2017年10月,0.583011583012,cd,7.5,4.33333333333,0.335148609691
19.98,36.8,4年11个月,3.50万公里,4S店定期保养,非营运车,成都,欧4,2018年11月,2017年11月,0.542934782609,cd,3.5,4.33333333333,0.172163118676
30.98,51.01,2年8个月,7.70万公里,4S店定期保养,非营运车,成都,国5,2019年02月,2019年02月,0.607331895707,cd,7.7,2.16666666667,0.436110685311
14.68,21.7,1年2个月,1.85万公里,4S店定期保养,非营运车,成都,国5,2018年08月,2019年08月,0.676497695853,cd,1.85,1.08333333333,0.737722805149
13.28,15.08,7个月,0.70万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年03月,2018年03月,0.880636604775,cd,0.7,7.58333333333,1.99847247915
21.68,34.3,3年5个月,5.77万公里,4S店定期保养,非营运车,成都,国4,2018年05月,2019年05月,0.632069970845,cd,5.77,3.25,0.541107319458
20.8,31.68,2年3个月,3.10万公里,4S店定期保养,非营运车,成都,欧4,2019年07月,2019年07月,0.656565656566,cd,3.1,2.16666666667,0.648026745279
4.6,13.87,7年8个月,5.90万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.331651045422,cd,5.9,7.58333333333,-0.700727076083
3.6,9.54,6年7个月,5.23万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.377358490566,cd,5.23,6.5,-0.500775287912
45.0,46.65,2个月,0.03万公里,4S店定期保养,非营运车,成都,"国4,国5",2019年08月,2018年08月,0.96463022508,cd,0.03,2.16666666667,3.30588720186
3.2,7.58,7年7个月,6.30万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.422163588391,cd,6.3,7.58333333333,-0.313897914583
2.48,8.66,7年10个月,6.90万公里,无定期保养,非营运车,成都,国3,2017年11月,2017年11月,0.286374133949,cd,6.9,7.58333333333,-0.913059711293
10.8,31.26,6年10个月,6.00万公里,无定期保养,非营运车,成都,欧4,2017年11月,2017年11月,0.345489443378,cd,6.0,6.5,-0.638925626393
10.0,15.17,2年3个月,2.00万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.659195781147,cd,2.0,2.16666666667,0.659712404474
10.0,15.17,2年3个月,2.00万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.659195781147,cd,2.0,2.16666666667,0.659712404474
7.9,12.52,4年4个月,4.00万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.630990415335,cd,4.0,4.33333333333,0.536468054379
6.0,11.48,4年3个月,4.00万公里,无定期保养,非营运车,成都,"国4,OBD",2017年11月,2017年11月,0.522648083624,cd,4.0,4.33333333333,0.0906543682681
1.8,4.48,7年2个月,7.00万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.401785714286,cd,7.0,7.58333333333,-0.398030129621
4.3,13.0,4年1个月,4.00万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.330769230769,cd,4.0,4.33333333333,-0.704708002961
2.68,6.72,5年9个月,6.00万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.39880952381,cd,6.0,5.41666666667,-0.41042789745
3.88,11.71,7年,7.63万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.331340734415,cd,7.63,7.58333333333,-0.702127356368
4.98,11.5,3年5个月,3.76万公里,无定期保养,非营运车,成都,"国4,OBD",2017年11月,2017年11月,0.433043478261,cd,3.76,3.25,-0.269444484902
5.68,14.2,7年8个月,9.85万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.4,cd,9.85,7.58333333333,-0.405465108108
2.68,7.09,5年10个月,7.80万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.377997179126,cd,7.8,5.41666666667,-0.498057894936
5.38,10.29,4年7个月,6.20万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.522837706511,cd,6.2,4.33333333333,0.0914144323673
1.3,5.08,5年9个月,7.89万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.255905511811,cd,7.89,5.41666666667,-1.06735974516
4.2,9.5,5年3个月,1.32万公里,4S店定期保养,非营运车,成都,国4,2018年07月,2018年07月,0.442105263158,cd,1.32,5.41666666667,-0.232622295269
7.0,11.93,3年9个月,5.68万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.586756077117,cd,5.68,3.25,0.350571161001
6.8,11.16,2年8个月,4.20万公里,无定期保养,非营运车,成都,国5,2017年11月,2017年11月,0.609318996416,cd,4.2,2.16666666667,0.444450554821
9.9,12.57,1年8个月,2.70万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.787589498807,cd,2.7,1.08333333333,1.31045628473
3.6,9.31,3年8个月,6.43万公里,无定期保养,非营运车,成都,欧4,2017年11月,2017年11月,0.386680988185,cd,6.43,3.25,-0.461285178206
11.18,17.02,3年,5.40万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.65687426557,cd,5.4,3.25,0.649395670887
16.68,25.81,1年8个月,3.07万公里,无定期保养,非营运车,成都,国5,2017年11月,2017年11月,0.646261139093,cd,3.07,1.08333333333,0.602644702324
14.0,25.61,3年11个月,7.37万公里,无定期保养,非营运车,成都,"国4,国5",2017年11月,2017年11月,0.546661460367,cd,7.37,3.25,0.187190533905
13.98,21.05,4个月,0.10万公里,4S店定期保养,非营运车,成都,国5,2019年06月,2018年06月,0.664133016627,cd,0.1,4.33333333333,0.681767256897
70.8,140.89,3年1个月,2.90万公里,4S店定期保养,非营运车,成都,欧5,2018年09月,2019年09月,0.502519696217,cd,2.9,3.25,0.0100788701874
34.8,44.05,1年4个月,2.60万公里,4S店定期保养,非营运车,成都,国5,2018年06月,2019年06月,0.790011350738,cd,2.6,1.08333333333,1.32499383526
65.0,91.05,12个月,3.30万公里,无定期保养,非营运车,成都,国5,2017年11月,2017年11月,0.713893465129,cd,3.3,1.08333333333,0.914369501696
2.88,10.92,10年1个月,8.33万公里,无定期保养,非营运车,成都,国4,2017年11月,2017年11月,0.263736263736,cd,8.33,1.08333333333,-1.02663878904
