,GPS导航,city,depre,miles,y,years,上牌城市,上牌时间,主副驾驶安全气囊,事故排查,仪表台指示灯,供油方式,倒车影像系统,倒车雷达,儿童座椅接口,全景天窗,公里数,内部配置,前制动类型,前后排侧气囊,前后排头部气囊,前后排座椅加热,前后电动车窗,前悬挂类型,前轮胎规格,助力类型,卖家报价(万),厂商,发动机,发动机状态,变速箱1,变速箱及转向,变速箱详情,后制动类型,后悬挂类型,后视镜加热,后视镜电动调节,后视镜电动调节.1,后轮胎规格,外观件更换检测,外部配置,多功能方向盘,安全系统,定速巡航,底盘悬架项,总车型,感应后备箱,感应雨刷,排放标准,排放标准.1,排量,整备质量,新车指导价(万),无钥匙启动系统,最大扭矩,最大马力,服务费,机舱项,款式年份,气缸,泡水排查,漆面修复检测,火烧排查,灯光系统,燃料类型,燃油标号,电动吸合门,电动天窗,真皮座椅,空调,级别,缺陷项检测,胎压检测,自动空调,行李容积,车内中控锁,车型1,车身稳定控制,车身结构,轴承,进气形式,钣金修复检测,长宽高,防抱死系统,随车工具,驱动方式,驻车制动类型,高科技配置
0,无,cd,0.515873015873,9.5,0.0635134057223,1.33333333333,广安,2016-02,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,9.5万公里,0.0,通风盘式,无/无,无/无,无/无,标配,双横臂螺旋弹簧独立悬架,235/65 R17,机械液压助力,6.5,江铃汽车,2.4L 136马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,五连杆式非独立悬架,无,标配/标配,标配,235/65 R17,2.0,0.0,无,0.0,无,0.0,江铃驭胜S350 2013款 2.4L 两驱特装版,无,无,国四,国四,2.4,1750,12.6,无,201,136.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,6.0,0.0,0.0,汽油,92号,无,无,无,标配,中型SUV,1.0,无,无,-,标配,江铃驭胜S350,无,5门5座SUV,2750,自然吸气,3.0,4740/1895/1842,标配,0.0,-,-,0.0
1,无,cd,0.563953488372,6.46,0.257222864967,1.25,南充,2016-03,正常/正常,2.0,0.0,多点电喷,无,标配,无,无,6.46万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,4.85,北京现代,1.4L 107马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,扭力梁式非独立悬架,无,标配/标配,标配,175/70 R14,0.0,0.0,无,0.0,无,0.0,现代瑞纳 2016款 1.4L 手动智能型GLS,无,无,国四,国四,1.4,1070,8.6,无,135,107.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,小型车,7.0,无,无,454,标配,现代瑞纳,无,4门5座三厢车,2570,自然吸气,3.0,4375/1700/1460,标配,0.0,,-,0.0
2,无,cd,0.709677419355,7.95,0.893817876022,2.25,广元,2015-03,正常/正常,0.0,0.0,多点电喷,无,标配,标配,标配,7.95万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,215/60 R17,电动助力,11.0,北京现代,1.6L 125马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,215/60 R17,0.0,0.0,无,0.0,无,0.0,现代ix25 2015款 1.6L 自动两驱智能型GLS,无,无,国四,国四,1.6,1377,15.5,标配,151,125.0,4400元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型SUV,0.0,无,无,431,标配,现代ix25,标配,5门5座SUV,2590,自然吸气,2.0,4270/1780/1627,标配,0.0,-,-,0.0
3,标配,cd,0.5625,8.6,0.251314428281,2.41666666667,重庆,2015-01,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,8.6万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,机械液压助力,4.95,长安汽车,1.6L 125马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,长安逸动 2015款 1.6L 手动豪华型 国V,无,无,国五,国五,1.6,1323,8.8,无,160,125.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,0.0,无,无,510,标配,长安逸动,标配,4门5座三厢车,2660,自然吸气,5.0,4620/1820/1490,标配,0.0,,-,0.0
4,标配,cd,0.535714285714,10.47,0.143100843641,3.08333333333,绵阳,2014-05,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,10.47万公里,0.0,通风盘式,正常/无,正常/正常,标配/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,7.5,长城汽车,1.5T 150马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,双横臂式独立悬架,标配,标配/标配,标配,225/65 R17,2.0,0.0,标配,0.0,标配,0.0,哈弗H6 2014款 运动版 1.5T 手动两驱精英型,无,标配,国四,国四,1.5,-,14.0,标配,210,150.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,2.0,标配,标配,808-20,标配,哈弗H6,标配,5门5座SUV,2680,涡轮增压,3.0,4649/1852/1710,标配,0.0,-,-,0.0
5,无,cd,0.637037037037,7.36,0.562526998143,2.25,绵阳,2015-03,无/无,0.0,0.0,多点电喷,无,加装,无,无,7.36万公里,0.0,通风盘式,无/无,无/无,无/无,标配,双横臂扭杆式独立悬挂,205/70 R15,液压助力,6.88,江淮汽车,2.0L 147马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧非独立悬架,无,标配/无,标配,205/70 R15,1.0,0.0,无,0.0,无,0.0,江淮瑞风 2015款 2.0L穿梭 汽油长轴标准版HFC4GA3-3D,无,无,国四,国四,2.0,1885,10.8,无,196,147.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,轻客,6.0,无,无,-,标配,江淮瑞风,无,客车,3080,自然吸气,0.0,5035/1820/1970,标配,0.0,,-,0.0
6,标配,cd,0.637096774194,4.4,0.562785362697,1.16666666667,广安,2016-04,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,标配,4.4万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,标配,麦弗逊式独立悬架,235/55 R18,电动助力,7.9,东南汽车,1.5T 156马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/55 R18,1.0,0.0,标配,0.0,无,0.0,东南DX7 2016款 1.5T 手动凯旋版,无,标配,国五,国五,1.5,1485,12.4,标配,215,156.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,3.0,无,标配,-,标配,东南DX7,标配,5门5座SUV,2700,涡轮增压,2.0,4530/1900/1700,标配,0.0,,-,0.0
7,加装,cd,0.548148148148,11.84,0.193191229031,2.58333333333,宜宾,2014-11,正常/正常,1.0,0.0,多点电喷,加装,标配,标配,无,11.84万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.4,东风悦达起亚,1.6L 128马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,加装,0.0,起亚K3 2015款 1.6L 自动GLS,无,无,国四,国四,1.6,1280,13.5,标配,156,128.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,加装,标配,紧凑型车,1.0,无,无,-,标配,起亚K3,无,4门5座三厢车,2700,自然吸气,4.0,4600/1780/1445,标配,0.0,,-,0.0
8,加装,cd,0.660869565217,9.43,0.667171694157,2.41666666667,资阳,2015-01,无/无,1.0,0.0,多点电喷,无,无,无,无,9.43万公里,0.0,通风盘式,无/无,无/无,无/无,标配,双横臂扭杆式独立悬挂,205/70 R15,液压助力,6.08,江淮汽车,2.0L 136马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧非独立悬架,无,标配/无,标配,205/70 R15,0.0,0.0,无,0.0,无,0.0,江淮瑞风 2012款 2.0L穿梭时光版HFC4GA3,无,无,国四,国四,2.0,1950,9.2,无,190,136.0,3500元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,轻客,6.0,无,无,-,标配,江淮瑞风,无,客车,2810,自然吸气,0.0,4695/1820/1880,标配,0.0,,-,0.0
9,无,cd,0.715328467153,3.46,0.921405832541,1.08333333333,南充,2016-05,正常/正常,1.0,0.0,直喷,无,无,标配,无,3.46万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,电动助力,9.8,长安马自达,1.5L 117马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,无,标配/标配,标配,205/60 R16,1.0,0.0,标配,0.0,无,0.0,马自达昂科赛拉 2016款 三厢 1.5L 自动舒适型,无,无,国四,国四,1.5,1286,13.7,标配,148,117.0,3920元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,6.0,无,无,419,标配,马自达昂科赛拉,标配,4门5座三厢车,2700,自然吸气,3.0,4582/1795/1458,标配,0.0,,-,0.0
